,Actor_name,Born,Occupation,spouse,spouse_first,spouse_second,spouse_third,spouse_fourth
114,John Cusack,['(1966-06-28)'],"['Actor, producer, screenwriter']",[],Never married,None,None,None
115,Bill Murray,['(1950-09-21)'],['Actor\ncomedian\nwriter'],"['Margaret Kelly(m.\xa01981; div.\xa01996)', 'Jennifer Butler(m.\xa01997; div.\xa02008)']",Margaret Kelly(m. 1981; div. 1996),Jennifer Butler(m. 1997; div. 2008),None,None
116,Robert Downey Jr.,['(1965-04-04)'],['Actor\nsinger-songwriter'],"['Deborah Falconer(m.\xa01992; div.\xa02004)', 'Susan Levin (m.\xa02005)']",Deborah Falconer(m. 1992; div. 2004),Susan Levin (m. 2005),None,None
117,Nicolas Cage,['(1964-01-07)'],"['Actor, director, producer']","['Patricia Arquette(m.\xa01995; div.\xa02001)', 'Lisa Marie Presley(m.\xa02002; div.\xa02004)', 'Alice Kim(m.\xa02004; sep.\xa02016)']",Patricia Arquette(m. 1995; div. 2001),Lisa Marie Presley(m. 2002; div. 2004),Alice Kim(m. 2004; sep. 2016),None
118,Gene Wilder,"['(1933-06-11)', '(2016-08-29)']","['Actor, screenwriter, director, producer, singer-songwriter, author']","['Mary Mercier(m.\xa01960; div.\xa01965)', 'Mary Joan Schutz(m.\xa01967; div.\xa01974)', 'Gilda Radner(m.\xa01984; died\xa01989)', 'Karen Boyer (m.\xa01991)']",Mary Mercier(m. 1960; div. 1965),Mary Joan Schutz(m. 1967; div. 1974),Gilda Radner(m. 1984; died 1989),Karen Boyer (m. 1991)
119,Kevin Costner,['(1955-01-18)'],"['Actor, director, producer, musician']","['Cindy Silva(m.\xa01978; div.\xa01994)', 'Christine Baumgartner (m.\xa02004)']",Cindy Silva(m. 1978; div. 1994),Christine Baumgartner (m. 2004),None,None
120,Donald Sutherland,['(1935-07-17)'],['Actor'],"['Lois Hardwick(m.\xa01959; div.\xa01966)', 'Shirley Douglas(m.\xa01966; div.\xa01970)', 'Francine Racette (m.\xa01972)']",Lois Hardwick(m. 1959; div. 1966),Shirley Douglas(m. 1966; div. 1970),Francine Racette (m. 1972),None
121,Bruce Dern,['(1936-06-04)'],['Actor'],"['Marie Dean (m.\xa01957–1959)', 'Diane Ladd (m.\xa01960–1969)', 'Andrea Beckett (m.\xa01969)']",Marie Dean (m. 1957–1959),Diane Ladd (m. 1960–1969),Andrea Beckett (m. 1969),None
122,Ava Gardner,"['(1922-12-24)', '(1990-01-25)']","['Actress, singer']","['Mickey Rooney(m.\xa01942; div.\xa01943)', 'Artie Shaw(m.\xa01945; div.\xa01946)', 'Frank Sinatra(m.\xa01951; div.\xa01957)']",Mickey Rooney(m. 1942; div. 1943),Artie Shaw(m. 1945; div. 1946),Frank Sinatra(m. 1951; div. 1957),None
123,Sally Field,['(1946-11-06)'],['Actress\ndirector'],"['Steve Craig(m.\xa01968; div.\xa01975)', 'Alan Greisman(m.\xa01984; div.\xa01993)']",Steve Craig(m. 1968; div. 1975),Alan Greisman(m. 1984; div. 1993),None,None
124,Emma Thompson,['(1959-04-15)'],['Actresscomediennescreenwriterauthoractivist'],"['Kenneth Branagh(m.\xa01989; div.\xa01995)', 'Greg Wise (m.\xa02003)']",Kenneth Branagh(m. 1989; div. 1995),Greg Wise (m. 2003),None,None
125,Greta Garbo,"['(1905-09-18)', '(1990-04-15)']",['Actress'],[],Never married,None,None,None
126,Holly Hunter,['(1958-03-20)'],"['Actress, producer']",['Janusz Kamiński(m.\xa01995; div.\xa02001)'],Janusz Kamiński(m. 1995; div. 2001),None,None,None
127,Hilary Swank,['(1974-07-30)'],['Actress\nproducer'],"['Chad Lowe(m.\xa01997; div.\xa02007)', 'Philip Schneider (m.\xa02018)']",Chad Lowe(m. 1997; div. 2007),Philip Schneider (m. 2018),None,None
128,Claudette Colbert,"['(1903-09-13)', '(1996-07-30)', '\ufeff / 13.241235; -59.642320']",['Actress'],"['Norman Foster(m.\xa01928; div.\xa01935)', 'Dr. Joel Pressman(m.\xa01935; died\xa01968)']",Norman Foster(m. 1928; div. 1935),Dr. Joel Pressman(m. 1935; died 1968),None,None
129,Diane Lane,['(1965-01-22)'],['Actress'],"['Christopher Lambert(m.\xa01988; div.\xa01994)', 'Josh Brolin(m.\xa02004; div.\xa02013)']",Christopher Lambert(m. 1988; div. 1994),Josh Brolin(m. 2004; div. 2013),None,None
130,Jessica Lange,['(1949-04-20)'],['Actress\nphotographer'],['Paco Grande(m.\xa01971; div.\xa01981)'],Paco Grande(m. 1971; div. 1981),None,None,None
131,Gloria Swanson,"['(1899-03-27)', '(1983-04-04)']","['Actress, producer']","['Wallace Beery(m.\xa01916; div.\xa01918)', 'Herbert K. Somborn(m.\xa01919; div.\xa01925)', 'Henry de La Falaise(m.\xa01925; div.\xa01930)', 'Michael Farmer(m.\xa01931; div.\xa01934)', 'William Davey(m.\xa01945; div.\xa01946)', 'William Dufty (m.\xa01976)']",Wallace Beery(m. 1916; div. 1918),Herbert K. Somborn(m. 1919; div. 1925),Henry de La Falaise(m. 1925; div. 1930),Michael Farmer(m. 1931; div. 1934)
132,Lauren Bacall,"['(1924-09-16)', '(2014-08-12)']",['Actress\nmodel'],"['Humphrey Bogart(m.\xa01945; died\xa01957)', 'Jason Robards(m.\xa01961; div.\xa01969)']",Humphrey Bogart(m. 1945; died 1957),Jason Robards(m. 1961; div. 1969),None,None
133,Frances McDormand,['(1957-06-23)'],['Actress'],['Joel Coen (m.\xa01984)'],Joel Coen (m. 1984),None,None,None
134,Norma Shearer,"['(1902-08-11)', '(1983-06-12)']",['Actress'],"['Irving Thalberg(m.\xa01927; died\xa01936)', 'Martin Arrougé (m.\xa01942)']",Irving Thalberg(m. 1927; died 1936),Martin Arrougé (m. 1942),None,None
135,Bette Midler,['(1945-12-01)'],['Singer\nsongwriter\nactress\ncomedian\nproducer'],['Martin von Haselberg (m.\xa01984)'],Martin von Haselberg (m. 1984),None,None,None
136,Mary Tyler Moore,"['(1936-12-29)', '(2017-01-25)']",['Actress'],"['Dick Meeker(m.\xa01955; div.\xa01961)', 'Grant Tinker(m.\xa01962; div.\xa01981)', 'Robert Levine (m.\xa01983)']",Dick Meeker(m. 1955; div. 1961),Grant Tinker(m. 1962; div. 1981),Robert Levine (m. 1983),None
137,Anna Magnani,"['(1908-03-07)', '(1973-09-26)']",['Actress'],[],Never married,None,None,None
138,Halle Berry,['(1966-08-14)'],['Actress'],"['David Justice(m.\xa01993; div.\xa01997)', 'Eric Benét(m.\xa02001; div.\xa02005)', 'Olivier Martinez(m.\xa02013; div.\xa02016)']",David Justice(m. 1993; div. 1997),Eric Benét(m. 2001; div. 2005),Olivier Martinez(m. 2013; div. 2016),None
139,Sharon Stone,['(1958-03-10)'],"['Actress, model, film producer']","['Michael Greenburg(m.\xa01984; div.\xa01990)', 'Phil Bronstein(m.\xa01998; div.\xa02004)']",Michael Greenburg(m. 1984; div. 1990),Phil Bronstein(m. 1998; div. 2004),None,None
140,Kim Basinger,['(1953-12-08)'],['Actress\nmodel\nsinger\nproducer\nanimal rights activist'],"['Ron Snyder(m.\xa01980; div.\xa01989)', 'Alec Baldwin(m.\xa01993; div.\xa02002)']",Ron Snyder(m. 1980; div. 1989),Alec Baldwin(m. 1993; div. 2002),None,None
141,Donna Reed,"['(1921-01-27)', '(1986-01-14)']",['Actress'],"['William J. Tuttle(m.\xa01943; div.\xa01945)', 'Tony Owen(m.\xa01945; div.\xa01971)', 'Grover Asmus(m.\xa01974; her death\xa01986)']",William J. Tuttle(m. 1943; div. 1945),Tony Owen(m. 1945; div. 1971),Grover Asmus(m. 1974; her death 1986),None
142,Geena Davis,['(1956-01-21)'],"['Actress, producer, writer, athlete, model']","['Richard Emmolo(m.\xa01982; div.\xa01983)', 'Jeff Goldblum(m.\xa01987; div.\xa01990)', 'Renny Harlin(m.\xa01993; div.\xa01998)', 'Reza Jarrahy(m.\xa02001; sep.\xa02017)']",Richard Emmolo(m. 1982; div. 1983),Jeff Goldblum(m. 1987; div. 1990),Renny Harlin(m. 1993; div. 1998),Reza Jarrahy(m. 2001; sep. 2017)
143,Demi Moore,['(1962-11-11)'],['Actress\nfilm producer\nmodel\nsongwriter'],"['Freddy Moore(m.\xa01980; div.\xa01985)', 'Bruce Willis(m.\xa01987; div.\xa02000)', 'Ashton Kutcher(m.\xa02005; div.\xa02013)']",Freddy Moore(m. 1980; div. 1985),Bruce Willis(m. 1987; div. 2000),Ashton Kutcher(m. 2005; div. 2013),None
144,Michelle Pfeiffer,['(1958-04-29)'],"['Actress, singer, producer']","['Peter Horton(m.\xa01981; div.\xa01988)', 'David E. Kelley (m.\xa01993)']",Peter Horton(m. 1981; div. 1988),David E. Kelley (m. 1993),None,None
145,Liza Minnelli,['(1946-03-12)'],['Actress\nsinger\ndancer\nchoreographer'],"['Peter Allen(m.\xa01967; div.\xa01974)', 'Jack Haley Jr.(m.\xa01974; div.\xa01979)', 'Mark Gero(m.\xa01979; div.\xa01992)', 'David Gest(m.\xa02002; div.\xa02007)']",Peter Allen(m. 1967; div. 1974),Jack Haley Jr.(m. 1974; div. 1979),Mark Gero(m. 1979; div. 1992),David Gest(m. 2002; div. 2007)
146,Charles Chaplin,"['(1889-04-16)', '(1977-12-25)']",['Actordirectorcomposerscreenwriterproducereditor'],"['Mildred Harris(m.\xa01918; div.\xa01920)', 'Lita Grey(m.\xa01924; div.\xa01927)', 'Paulette Goddard(m.\xa01936; div.\xa01942)', ""Oona O'Neill (m.\xa01943)""]",Mildred Harris(m. 1918; div. 1920),Lita Grey(m. 1924; div. 1927),Paulette Goddard(m. 1936; div. 1942),Oona O'Neill (m. 1943)
147,Peter Sellers,"['(1925-09-08)', '(1980-07-24)']","['Actor, comedian, singer']","['Anne Howe(m.\xa01954; div.\xa01963)', 'Britt Ekland(m.\xa01964; div.\xa01968)', 'Miranda Quarry(m.\xa01969; div.\xa01976)', 'Lynne Frederick(m.\xa01977; his death\xa01980)']",Anne Howe(m. 1954; div. 1963),Britt Ekland(m. 1964; div. 1968),Miranda Quarry(m. 1969; div. 1976),Lynne Frederick(m. 1977; his death 1980)
148,Woody Allen,['(1935-12-01)'],"['Director, writer, actor, comedian']","['Harlene Susan Rosen(m.\xa01956; div.\xa01962)', 'Louise Lasser(m.\xa01966; div.\xa01970)', 'Soon-Yi Previn (m.\xa01997)']",Harlene Susan Rosen(m. 1956; div. 1962),Louise Lasser(m. 1966; div. 1970),Soon-Yi Previn (m. 1997),None
149,Jon Voight,['(1938-12-29)'],['Actor'],"['Lauri Peters(m.\xa01962; div.\xa01967)', 'Marcheline Bertrand(m.\xa01971; div.\xa01980)']",Lauri Peters(m. 1962; div. 1967),Marcheline Bertrand(m. 1971; div. 1980),None,None
150,Mel Gibson,['(1956-01-03)'],"['Actor, director, producer']",['Robyn Moore(m.\xa01980; div.\xa02011)'],Robyn Moore(m. 1980; div. 2011),None,None,None
151,Jim Carrey,['(1962-01-17)'],['Actorstand-up comedianscreenwriterpainterfilm producer'],"['Melissa Womer(m.\xa01987; div.\xa01995)', 'Lauren Holly(m.\xa01996; div.\xa01997)']",Melissa Womer(m. 1987; div. 1995),Lauren Holly(m. 1996; div. 1997),None,None
152,Mark Wahlberg,['(1971-06-05)'],['Actorproducerbusinessmanmodelrappersongwriter'],['Rhea Durham (m.\xa02009)'],Rhea Durham (m. 2009),None,None,None
153,Javier Bardem,['(1969-03-01)'],['Actor'],['Penélope Cruz (m.\xa02010)'],Penélope Cruz (m. 2010),None,None,None
154,Tim Robbins,['(1958-10-16)'],"['Actor, screenwriter, director, producer, musician']",[],Never married,None,None,None
155,Sylvester Stallone,['(1946-07-06)'],"['Actor, screenwriter, film director, producer']","['Sasha Czack(m.\xa01974; div.\xa01985)', 'Brigitte Nielsen(m.\xa01985; div.\xa01987)', 'Jennifer Flavin (m.\xa01997)']",Sasha Czack(m. 1974; div. 1985),Brigitte Nielsen(m. 1985; div. 1987),Jennifer Flavin (m. 1997),None
156,Viggo Mortensen,['(1958-10-20)'],['Actor\nproducer\nauthor\nmusician\nphotographer\npoet\npainter'],['Exene Cervenka(m.\xa01987; div.\xa01998)'],Exene Cervenka(m. 1987; div. 1998),None,None,None
157,Hugo Weaving,['(1960-04-04)'],['Actorvoice actor'],[],Never married,None,None,None
158,Christopher Lee,"['(1922-05-27)', '(2015-06-07)']",['Actor\nsinger\nauthor'],['Birgit Krøncke (m.\xa01961)'],Birgit Krøncke (m. 1961),None,None,None
159,Geoffrey Rush,['(1951-07-06)'],['Actor'],['Jane Menelaus (m.\xa01988)'],Jane Menelaus (m. 1988),None,None,None
160,Alec Guinness,"['(1914-04-02)', '(2000-08-05)']",['Actor'],['Merula Salaman (m.\xa01938)'],Merula Salaman (m. 1938),None,None,None
161,Richard Burton,"['(1925-11-10)', '(1984-08-05)']",['Actor'],"['Sybil Williams(m.\xa01949; div.\xa01963)', 'Elizabeth Taylor(m.\xa01964; div.\xa01974)', 'Suzy Miller(m.\xa01976; div.\xa01982)', 'Sally Hay (m.\xa01983)']",Sybil Williams(m. 1949; div. 1963),Elizabeth Taylor(m. 1964; div. 1974),Suzy Miller(m. 1976; div. 1982),Sally Hay (m. 1983)
162,Alec Baldwin,['(1958-04-03)'],"['Actor, writer, comedian, producer']","['Kim Basinger(m.\xa01993; div.\xa02002)', 'Hilaria Thomas (m.\xa02012)']",Kim Basinger(m. 1993; div. 2002),Hilaria Thomas (m. 2012),None,None
163,James Caan,['(1940-03-26)'],['Actor'],"['Dee Jay Mattis(m.\xa01960; div.\xa01966)', 'Sheila Marie Ryan(m.\xa01976; div.\xa01977)', 'Ingrid Hajek(m.\xa01990; div.\xa01995)', 'Linda Stokes(m.\xa01995; div.\xa02009)']",Dee Jay Mattis(m. 1960; div. 1966),Sheila Marie Ryan(m. 1976; div. 1977),Ingrid Hajek(m. 1990; div. 1995),Linda Stokes(m. 1995; div. 2009)
164,Michael Douglas,['(1944-09-25)'],"['Actor, producer']","['Diandra Luker(m.\xa01977; div.\xa01995)', 'Catherine Zeta-Jones (m.\xa02000)']",Diandra Luker(m. 1977; div. 1995),Catherine Zeta-Jones (m. 2000),None,None
165,Willem Dafoe,['(1955-07-22)'],['Actor'],"['Elizabeth LeCompte(m.\xa01977; div.\xa02004)', 'Giada Colagrande (m.\xa02005)']",Elizabeth LeCompte(m. 1977; div. 2004),Giada Colagrande (m. 2005),None,None
166,Ed Harris,['(1950-11-28)'],"['Actor, producer, director, screenwriter']",['Amy Madigan (m.\xa01983)'],Amy Madigan (m. 1983),None,None,None
167,Harvey Keitel,['(1939-05-13)'],"['Actor, producer']",['Daphna Kastner (m.\xa02001)'],Daphna Kastner (m. 2001),None,None,None
168,Drew Barrymore,['(1975-02-22)'],['Actress\nproducer\ndirector\nauthor\nmodel\nentrepreneur'],"['Jeremy Thomas(m.\xa01994; div.\xa01995)', 'Tom Green(m.\xa02001; div.\xa02002)', 'Will Kopelman(m.\xa02012; div.\xa02016)']",Jeremy Thomas(m. 1994; div. 1995),Tom Green(m. 2001; div. 2002),Will Kopelman(m. 2012; div. 2016),None
169,Winona Ryder,['(1971-10-29)'],['Actress'],[],Never married,None,None,None
170,Kathleen Turner,['(1954-06-19)'],"['Actress, singer, theatre director']",['Jay Weiss(m.\xa01984; div.\xa02007)'],Jay Weiss(m. 1984; div. 2007),None,None,None
171,Uma Thurman,['(1970-04-29)'],['Actress\nmodel'],"['Gary Oldman(m.\xa01990; div.\xa01992)', 'Ethan Hawke(m.\xa01998; div.\xa02005)']",Gary Oldman(m. 1990; div. 1992),Ethan Hawke(m. 1998; div. 2005),None,None
172,Hattie McDaniel,"['(1893-06-10)', '(1952-10-26)']","['Actress, singer-songwriter and comedian']",[],Never married,None,None,None
173,Rene Russo,['(1954-02-17)'],"['Actress, producer, model']",['Dan Gilroy (m.\xa01992)'],Dan Gilroy (m. 1992),None,None,None
174,Annette Bening,['(1958-05-29)'],['Actress'],"['J. Steven White(m.\xa01984; div.\xa01991)', 'Warren Beatty (m.\xa01992)']",J. Steven White(m. 1984; div. 1991),Warren Beatty (m. 1992),None,None
175,Sigourney Weaver,['(1949-10-08)'],['Actress'],['Jim Simpson (m.\xa01984)'],Jim Simpson (m. 1984),None,None,None
176,Barbra Streisand,['(1942-04-24)'],['Singer\nsongwriter\nactress\nfilmmaker'],"['Elliott Gould(m.\xa01963; div.\xa01971)', 'James Brolin (m.\xa01998)']",Elliott Gould(m. 1963; div. 1971),James Brolin (m. 1998),None,None
177,Raquel Welch,['(1940-09-05)'],"['Actress, singer']","['James Welch(m.\xa01959; div.\xa01964)', 'Patrick Curtis(m.\xa01967; div.\xa01972)', 'André Weinfeld(m.\xa01980; div.\xa01990)', 'Richard Palmer(m.\xa01999; div.\xa02008)']",James Welch(m. 1959; div. 1964),Patrick Curtis(m. 1967; div. 1972),André Weinfeld(m. 1980; div. 1990),Richard Palmer(m. 1999; div. 2008)
178,Joanne Woodward,['(1930-02-27)'],"['Actress, producer, philanthropist']",['Paul Newman(m.\xa01958; died\xa02008)'],Paul Newman(m. 1958; died 2008),None,None,None
179,Shirley Booth,"['(1898-08-30)', '(1992-10-16)']",['Actress'],"['Ed Gardner(m.\xa01929; div.\xa01942)', 'William H. Baker, Jr.(m.\xa01943; died\xa01951)']",Ed Gardner(m. 1929; div. 1942),"William H. Baker, Jr.(m. 1943; died 1951)",None,None
180,Mercedes McCambridge,"['(1916-03-16)', '(2004-03-02)']",['Actress'],"['William Fifield (m.\xa01939–1946)', 'Fletcher Markle (m.\xa01950–1962)']",William Fifield (m. 1939–1946),Fletcher Markle (m. 1950–1962),None,None
181,Anjelica Huston,['(1951-07-08)'],"['Actress, director, producer, author']",['Robert Graham(m.\xa01992; died\xa02008)'],Robert Graham(m. 1992; died 2008),None,None,None
182,Dianne Wiest,['(1946-03-28)'],['Actress'],[],Never married,None,None,None
183,Goldie Hawn,['(1945-11-21)'],"['Actress, producer, singer']","['Gus Trikonis(m.\xa01969; div.\xa01976)', 'Bill Hudson(m.\xa01976; div.\xa01982)']",Gus Trikonis(m. 1969; div. 1976),Bill Hudson(m. 1976; div. 1982),None,None
184,Judy Davis,['(1955-04-23)'],['Actress'],['Colin Friels (m.\xa01984)'],Colin Friels (m. 1984),None,None,None
185,Gwyneth Paltrow,['(1972-09-27)'],['Actresssingerwriter'],"['Chris Martin(m.\xa02003; div.\xa02016)', 'Brad Falchuk (m.\xa02018)']",Chris Martin(m. 2003; div. 2016),Brad Falchuk (m. 2018),None,None
186,Julianne Moore,['(1960-12-03)'],"[""Actorchildren's author""]","['John Gould Rubin(m.\xa01986; div.\xa01995)', 'Bart Freundlich (m.\xa02003)']",John Gould Rubin(m. 1986; div. 1995),Bart Freundlich (m. 2003),None,None
187,Debra Winger,['(1955-05-16)'],['Actress'],"['Timothy Hutton(m.\xa01986; div.\xa01990)', 'Arliss Howard (m.\xa01996)']",Timothy Hutton(m. 1986; div. 1990),Arliss Howard (m. 1996),None,None
188,Christina Ricci,['(1980-02-12)'],"['Actress, producer']",['James Heerdegen (m.\xa02013)'],James Heerdegen (m. 2013),None,None,None
189,Juliette Binoche,['(1964-03-09)'],"['Actress, artist, dancer, human rights campaigner']",[],Never married,None,None,None
190,Daryl Hannah,['(1960-12-03)'],['Actressenvironmental activist'],['Neil Young (m.\xa02018)'],Neil Young (m. 2018),None,None,None
191,Benicio Del Toro,['(1967-02-19)'],['Actorfilm producer'],[],Never married,None,None,None
192,Kevin Bacon,['(1958-07-08)'],"['Actor, director, producer, musician']",['Kyra Sedgwick (m.\xa01988)'],Kyra Sedgwick (m. 1988),None,None,None
193,Patrick Swayze,"['(1952-08-18)', '(2009-09-14)']",['Actor\ndancer\nsinger-songwriter'],['Lisa Niemi (m.\xa01975)'],Lisa Niemi (m. 1975),None,None,None
194,Michael Caine,['(1933-03-14)'],"['Actor, producer, author']","['Patricia Haines(m.\xa01955; div.\xa01962)', 'Shakira Baksh (m.\xa01973)']",Patricia Haines(m. 1955; div. 1962),Shakira Baksh (m. 1973),None,None
195,Burt Lancaster,"['(1913-11-02)', '(1994-10-20)']","['Actor, Producer']","['June Ernst(m.\xa01935; div.\xa01946)', 'Norma Anderson(m.\xa01946; div.\xa01969)', 'Susan Martin (m.\xa01990)']",June Ernst(m. 1935; div. 1946),Norma Anderson(m. 1946; div. 1969),Susan Martin (m. 1990),None
196,Robert Mitchum,"['(1917-08-06)', '(1997-07-01)']","['Actor, author, composer, singer']",[],Never married,None,None,None
197,Colin Farrell,['(1976-05-31)'],"['Actor, singer']",[],Never married,None,None,None
198,William Holden,"['(1918-04-17)', '(1981-11-12)']","['Actor, wildlife conservationist']",['Brenda Marshall(m.\xa01941; div.\xa01971)'],Brenda Marshall(m. 1941; div. 1971),None,None,None
199,Edward G. Robinson,"['(1893-12-12)', '(1973-01-26)']",['Actor'],"['Gladys Lloyd(m.\xa01927; div.\xa01956)', 'Jane Robinson (m.\xa01958)']",Gladys Lloyd(m. 1927; div. 1956),Jane Robinson (m. 1958),None,None
200,William Powell,"['(1892-07-29)', '(1984-03-05)']",['Actor'],"['Eileen Wilson(m.\xa01915; div.\xa01930)', 'Carole Lombard(m.\xa01931; div.\xa01933)', 'Diana Lewis (m.\xa01940)']",Eileen Wilson(m. 1915; div. 1930),Carole Lombard(m. 1931; div. 1933),Diana Lewis (m. 1940),None
201,Errol Flynn,"['(1909-06-20)', '(1959-10-14)']",['Actor'],"['Lili Damita(m.\xa01935; div.\xa01942)', 'Nora Eddington(m.\xa01943; div.\xa01949)', 'Patrice Wymore (m.\xa01950)']",Lili Damita(m. 1935; div. 1942),Nora Eddington(m. 1943; div. 1949),Patrice Wymore (m. 1950),None
202,James Mason,"['(1909-05-15)', '(1984-07-27)']",['Actor'],"['Pamela Mason(m.\xa01941; div.\xa01964)', 'Clarissa Kaye  (m.\xa01971)']",Pamela Mason(m. 1941; div. 1964),Clarissa Kaye  (m. 1971),None,None
203,Buster Keaton,"['(1895-10-04)', '(1966-02-01)']","['Actor, comedian, director, producer, writer, stunt performer']","['Natalie Talmadge(m.\xa01921; div.\xa01932)', 'Mae Scriven(m.\xa01933; div.\xa01936)', 'Eleanor Norris (m.\xa01940–1966)']",Natalie Talmadge(m. 1921; div. 1932),Mae Scriven(m. 1933; div. 1936),Eleanor Norris (m. 1940–1966),None
204,Gene Kelly,"['(1912-08-23)', '(1996-02-02)']","['Dancer, choreographer, director, actor, singer, producer']","['Betsy Blair(m.\xa01941; div.\xa01957)', 'Jeanne Coyne(m.\xa01960; died\xa01973)', 'Patricia Ward (m.\xa01990)']",Betsy Blair(m. 1941; div. 1957),Jeanne Coyne(m. 1960; died 1973),Patricia Ward (m. 1990),None
205,Fred Astaire,"['(1899-05-10)', '(1987-06-22)']",['Dancer\nsinger\nactor\npresenter\nchoreographer\npercussionist'],"['Phyllis Livingston Potter(m.\xa01933; died\xa01954)', 'Robyn Smith (m.\xa01980)']",Phyllis Livingston Potter(m. 1933; died 1954),Robyn Smith (m. 1980),None,None
206,Bradley Cooper,['(1975-01-05)'],['Actor\nfilmmaker'],['Jennifer Esposito(m.\xa02006; div.\xa02007)'],Jennifer Esposito(m. 2006; div. 2007),None,None,None
207,Jude Law,['(1972-12-29)'],['Actor'],['Sadie Frost(m.\xa01997; div.\xa02003)'],Sadie Frost(m. 1997; div. 2003),None,None,None
208,Robert Pattinson,['(1986-05-13)'],"['Actor, musician']",[],Never married,None,None,None
209,Paul Giamatti,['(1967-06-06)'],"['Actor, producer']",[],Never married,None,None,None
210,Forest Whitaker,['(1961-07-15)'],"['Actor, producer, director']",['Keisha Nash (m.\xa01996)'],Keisha Nash (m. 1996),None,None,None
211,Jared Leto,['(1971-12-26)'],['Actor\nsinger\nsongwriter\ndirector'],[],Never married,None,None,None
212,Jonah Hill,['(1983-12-20)'],['Actor\ncomedian\nproducer\nscreenwriter\ndirector'],[],Never married,None,None,None
213,Michael Fassbender,['(1977-04-02)'],['Actor'],['Alicia Vikander (m.\xa02017)'],Alicia Vikander (m. 2017),None,None,None
214,Jessica Tandy,"['(1909-06-07)', '(1994-09-11)']",['Actress'],"['Jack Hawkins(m.\xa01932; div.\xa01940)', 'Hume Cronyn(m.\xa01942; her death\xa01994)']",Jack Hawkins(m. 1932; div. 1940),Hume Cronyn(m. 1942; her death 1994),None,None
215,Helen Hunt,['(1963-06-15)'],"['Actress, director, screenwriter']",['Hank Azaria(m.\xa01999; div.\xa02000)'],Hank Azaria(m. 1999; div. 2000),None,None,None
216,Patricia Arquette,['(1968-04-08)'],['Actress'],"['Nicolas Cage(m.\xa01995; div.\xa02001)', 'Thomas Jane(m.\xa02006; div.\xa02011)']",Nicolas Cage(m. 1995; div. 2001),Thomas Jane(m. 2006; div. 2011),None,None
217,Carmen Miranda,"['(1909-02-09)', '(1955-08-05)']",['Singerdanceractress'],['David Alfred Sebastian (m.\xa01947)'],David Alfred Sebastian (m. 1947),None,None,None
218,Kate Hudson,['(1979-04-19)'],"['Actress, author, businesswoman']",['Chris Robinson(m.\xa02000; div.\xa02007)'],Chris Robinson(m. 2000; div. 2007),None,None,None
219,Catherine Zeta-Jones,['(1969-09-25)'],['Actress'],['Michael Douglas (m.\xa02000)'],Michael Douglas (m. 2000),None,None,None
220,Cameron Diaz,['(1972-08-30)'],['actress'],['Benji Madden (m.\xa02015)'],Benji Madden (m. 2015),None,None,None
221,Debbie Reynolds,"['(1932-04-01)', '(2016-12-28)']","['Actress, singer, dancer, businesswoman']","['Eddie Fisher(m.\xa01955; div.\xa01959)', 'Harry Karl(m.\xa01960; div.\xa01973)', 'Richard Hamlett(m.\xa01984; div.\xa01996)']",Eddie Fisher(m. 1955; div. 1959),Harry Karl(m. 1960; div. 1973),Richard Hamlett(m. 1984; div. 1996),None
222,Rita Hayworth,"['(1918-10-17)', '(1987-05-14)']","['Actress, dancer']",[],Never married,None,None,None
223,Maureen O'Hara,"['(1920-08-17)', '(2015-10-24)']","['Actress, singer']","['George H. Brown(m.\xa01939; ann.\xa01941)', 'Will Price(m.\xa01941; div.\xa01953)', 'Charles F. Blair, Jr.(m.\xa01968; died\xa01978)']",George H. Brown(m. 1939; ann. 1941),Will Price(m. 1941; div. 1953),"Charles F. Blair, Jr.(m. 1968; died 1978)",None
224,Myrna Loy,"['(1905-08-02)', '(1993-12-14)', '\ufeff / 46.6562; -112.0365']",['Actress'],"['Arthur Hornblow Jr.(m.\xa01936; div.\xa01942)', 'John Hertz, Jr.(m.\xa01942; div.\xa01944)', 'Gene Markey(m.\xa01946; div.\xa01950)', 'Howland H. Sargeant(m.\xa01951; div.\xa01960)']",Arthur Hornblow Jr.(m. 1936; div. 1942),"John Hertz, Jr.(m. 1942; div. 1944)",Gene Markey(m. 1946; div. 1950),Howland H. Sargeant(m. 1951; div. 1960)
225,Lena Headey,['(1973-10-03)'],"['Actress, voice actress']","['Peter Loughran(m.\xa02007; div.\xa02013)', 'Dan Cadan (m.\xa02018)']",Peter Loughran(m. 2007; div. 2013),Dan Cadan (m. 2018),None,None
226,Toni Collette,['(1972-11-01)'],['Actresssingermusician'],['Dave Galafassi (m.\xa02003)'],Dave Galafassi (m. 2003),None,None,None
227,Laura Linney,['(1964-02-05)'],['Actress\nsinger'],"['David Adkins(m.\xa01995; div.\xa02000)', 'Marc Schauer (m.\xa02009)']",David Adkins(m. 1995; div. 2000),Marc Schauer (m. 2009),None,None
228,Marlene Dietrich,"['(1901-12-27)', '(1992-05-06)']",['Actress'],['Rudolf Sieber(m.\xa01923; died\xa01976)'],Rudolf Sieber(m. 1923; died 1976),None,None,None
